,COUNTY,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,year
0,Adjuntas,18760.0,7673.0,6305.0,11791.0,2257.0,7124.0,4737.0,3032.0,4307.0,3861.0,956.0,18732.0,13811.0,94.0,32.0,181.0,1201.0,71.0,2016
1,Aguada,40083.0,17508.0,12934.0,21828.0,3133.0,8592.0,9710.0,6218.0,8299.0,10954.0,1557.0,38543.0,24509.0,210.0,14.0,524.0,1973.0,90.0,2016
2,Aguadilla,56893.0,27365.0,20999.0,27469.0,4065.0,10335.0,11853.0,10579.0,12210.0,13194.0,3153.0,56183.0,31239.0,2507.0,46.0,508.0,3854.0,1963.0,2016
3,Aguas Buenas,27323.0,10790.0,8675.0,13814.0,2172.0,9647.0,6335.0,4471.0,6118.0,7292.0,1130.0,27176.0,19670.0,163.0,0.0,277.0,1601.0,197.0,2016
4,Aibonito,24438.0,9961.0,8569.0,11433.0,382.0,9262.0,4389.0,4197.0,5225.0,6404.0,1231.0,24383.0,18034.0,161.0,55.0,421.0,1334.0,24.0,2016
5,Añasco,28250.0,12448.0,9373.0,13760.0,1570.0,8673.0,6330.0,4972.0,5942.0,6858.0,1071.0,27839.0,19010.0,212.0,35.0,326.0,1407.0,117.0,2016
6,Arecibo,91096.0,41400.0,32121.0,43974.0,5100.0,9438.0,16524.0,17353.0,18906.0,15751.0,4400.0,90756.0,55775.0,1624.0,32.0,631.0,5859.0,1695.0,2016
7,Arroyo,18778.0,8556.0,6203.0,9958.0,1112.0,7655.0,3135.0,3079.0,4512.0,4340.0,1046.0,18749.0,13246.0,136.0,57.0,285.0,1015.0,17.0,2016
8,Barceloneta,24699.0,9892.0,8330.0,13083.0,1148.0,8245.0,4306.0,4164.0,5633.0,6232.0,1119.0,24601.0,15475.0,119.0,21.0,210.0,1188.0,36.0,2016
9,Barranquitas,29548.0,11034.0,9376.0,17728.0,629.0,7369.0,5671.0,3869.0,7308.0,7379.0,1579.0,29548.0,23031.0,234.0,13.0,680.0,1324.0,417.0,2016
10,Bayamón,192974.0,83785.0,70950.0,66051.0,12262.0,13472.0,27786.0,36624.0,39086.0,47075.0,10679.0,191731.0,100787.0,7201.0,128.0,1867.0,9543.0,6477.0,2016
11,Cabo Rojo,50096.0,29625.0,17130.0,25055.0,1603.0,9833.0,10789.0,10183.0,10468.0,7738.0,1936.0,49971.0,27656.0,2238.0,1379.0,611.0,2517.0,134.0,2016
12,Caguas,136372.0,58356.0,50327.0,50464.0,8686.0,13911.0,19275.0,23831.0,29570.0,31947.0,7883.0,135183.0,79781.0,3694.0,79.0,1591.0,8406.0,1087.0,2016
13,Camuy,33481.0,14051.0,11816.0,16173.0,2178.0,9271.0,7138.0,5648.0,7196.0,7282.0,1437.0,33252.0,21917.0,84.0,0.0,293.0,1434.0,109.0,2016
14,Canóvanas,47174.0,18012.0,14664.0,20421.0,4195.0,10664.0,8299.0,6858.0,11176.0,8721.0,2189.0,47128.0,28790.0,148.0,10.0,1122.0,2100.0,111.0,2016
15,Carolina,165040.0,77771.0,64408.0,49105.0,10557.0,15403.0,19402.0,31835.0,34151.0,37475.0,10292.0,163626.0,81569.0,16300.0,172.0,2198.0,8725.0,716.0,2016
16,Cataño,26137.0,10849.0,9190.0,12829.0,3272.0,11039.0,4732.0,4204.0,6005.0,5588.0,1639.0,26019.0,15435.0,1297.0,34.0,442.0,2452.0,7.0,2016
17,Cayey,46071.0,20106.0,16629.0,19824.0,2089.0,12441.0,8610.0,8045.0,9760.0,14244.0,2380.0,45829.0,30366.0,611.0,54.0,604.0,2816.0,142.0,2016
18,Ceiba,12538.0,7456.0,4585.0,5611.0,453.0,10584.0,2112.0,2536.0,2712.0,1316.0,594.0,12417.0,6920.0,261.0,12.0,215.0,681.0,24.0,2016
19,Ciales,17644.0,7322.0,5883.0,10694.0,576.0,7080.0,4207.0,2917.0,3974.0,3532.0,1009.0,17576.0,12613.0,235.0,0.0,210.0,1190.0,17.0,2016
20,Cidra,41782.0,16213.0,13519.0,17471.0,2703.0,11107.0,6767.0,6068.0,9350.0,11776.0,2124.0,41662.0,27778.0,82.0,53.0,530.0,1852.0,177.0,2016
21,Coamo,40090.0,16380.0,13609.0,19726.0,1342.0,9699.0,7627.0,6079.0,9259.0,9687.0,2655.0,39857.0,27313.0,439.0,0.0,560.0,2051.0,113.0,2016
22,Comerío,20153.0,7625.0,6249.0,12220.0,1359.0,6975.0,5138.0,3084.0,4547.0,5849.0,1019.0,20079.0,14665.0,262.0,0.0,281.0,1454.0,15.0,2016
23,Corozal,35484.0,13063.0,11011.0,19774.0,3009.0,7793.0,7369.0,5395.0,8288.0,7670.0,1219.0,35239.0,25617.0,74.0,129.0,851.0,1562.0,334.0,2016
24,Culebra,1508.0,1519.0,509.0,679.0,24.0,10069.0,343.0,242.0,379.0,101.0,87.0,1434.0,843.0,41.0,36.0,54.0,129.0,0.0,2016
25,Dorado,38013.0,15803.0,12036.0,13587.0,3080.0,14504.0,6187.0,5669.0,9174.0,5988.0,1935.0,37465.0,20860.0,152.0,47.0,825.0,1299.0,50.0,2016
26,Fajardo,33912.0,18627.0,12691.0,14866.0,3754.0,10784.0,5048.0,6630.0,7590.0,7316.0,2356.0,33678.0,18105.0,1980.0,38.0,735.0,1953.0,267.0,2016
27,Florida,12287.0,4919.0,4305.0,6707.0,602.0,7451.0,1672.0,1895.0,2865.0,2400.0,653.0,12234.0,8506.0,147.0,0.0,163.0,413.0,9.0,2016
28,Guánica,17788.0,9346.0,5526.0,11199.0,1565.0,7223.0,4039.0,3592.0,3936.0,5658.0,522.0,17732.0,11722.0,194.0,21.0,233.0,923.0,84.0,2016
29,Guayama,43210.0,18819.0,14879.0,22189.0,1601.0,9034.0,7532.0,6616.0,9967.0,9539.0,2492.0,42916.0,31632.0,334.0,136.0,345.0,3205.0,2132.0,2016
30,Guayanilla,20025.0,8364.0,6659.0,11725.0,1287.0,7864.0,3845.0,3494.0,4626.0,3295.0,996.0,19952.0,13618.0,84.0,8.0,162.0,933.0,62.0,2016
