ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
72,PUERTO RICO,PR,Aibonito,72009,"Aibonito Municipio, Puerto Rico",31.3107355,23457,0,9800,196,8301,265,10768,894,376,151,10630,851,3884,369,4439,0,4693,0,6117,499,1204,221.6,23415,46.0,16811,836.2,117,45.2,35,34,331,110.6,1202,215,27,31,45.9,3.8,5.4,2.1,10630.0,851.0,23.4,2.2,18.9,0.0,20.0,0.0,26.1,2.1,14.5,2.6,99.8,0.2,75.3,3.7,1.2,0.5,0.4,0.3,4.0,1.3,14.5,2.5,0.1,0.1,0.3636,0.026,0.4416,0.2208,1.052,0.1818,0.5714,0.3117,0.7922,0.6364,2.3117,0.7403,0.7273,0.8442,1.5715,0.8831,0.2338,0.6753,0.7143,0.4026,0.0649,2.0909,0.3377,7.0261,0.3766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,263,2.9,1.1,-999
72,PUERTO RICO,PR,Añasco,72011,"Añasco Municipio, Puerto Rico",39.2848847,27368,0,12524,193,8933,359,11831,939,1290,280,10259,693,5955,423,5234,0,5307,0,6914,567,965,202.6,26494,273.0,17923,867.1,224,97.2,18,28,117,76.8,1154,230,122,104,43.4,3.4,12.9,2.8,10259.0,693.0,30.7,2.2,19.1,0.0,19.4,0.0,25.3,2.1,10.8,2.2,96.8,1.0,68.3,3.3,1.8,0.8,0.1,0.2,1.3,0.9,12.9,2.5,0.4,0.4,0.2468,0.2597,0.4805,0.7532,1.7402,0.4026,0.6104,0.1169,0.7403,0.1948,1.6624,0.2597,0.0519,0.5065,0.5584,0.2597,0.3896,0.2208,0.013,0.1688,0.4416,1.2338,0.0519,5.1948,0.0779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,272,3.7,1.0,-999
72,PUERTO RICO,PR,Arecibo,72013,"Arecibo Municipio, Puerto Rico",125.9385901,87242,0,41309,402,31788,653,41504,1773,4910,558,10203,499,14979,749,17765,0,17035,0,17640,865,4062,459.9,86776,191.0,52381,1548.4,1820,274.0,22,29,644,168.2,5395,415,1217,217,48.0,2.1,17.6,1.9,10203.0,499.0,24.3,1.2,20.4,0.0,19.5,0.0,20.4,1.0,12.8,1.4,99.5,0.2,62.9,1.9,4.4,0.7,0.1,0.1,2.0,0.5,17.0,1.3,1.4,0.2,0.4805,0.4935,0.5065,0.3117,1.7922,0.4416,0.7792,0.1429,0.4026,0.3896,1.7143,0.3117,0.5065,0.2597,0.7662,0.3377,0.7662,0.2208,0.1688,0.6883,0.8701,2.7142,0.6883,6.9869,0.3636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4454,612,5.1,0.7,-999
72,PUERTO RICO,PR,Barceloneta,72017,"Barceloneta Municipio, Puerto Rico",18.6957917,24299,0,10094,209,8010,318,12184,1135,1339,381,9170,808,4442,643,4426,0,5183,0,4974,734,1299,287.2,24262,40.0,15184,1250.9,50,54.1,20,32,200,124.7,1100,254,18,21,50.2,4.7,18.4,4.7,9170.0,808.0,26.6,3.8,18.2,0.0,21.3,0.0,20.5,3.0,16.2,3.5,99.8,0.2,65.9,5.4,0.5,0.5,0.2,0.3,2.5,1.6,13.7,3.2,0.1,0.1,0.5455,0.5195,0.6883,0.4416,2.1949,0.6104,0.4416,0.6753,0.4416,0.8442,2.4027,0.8182,0.7273,0.4286,1.1559,0.6364,0.0519,0.3636,0.3636,0.2857,0.0649,1.1297,0.039,6.8832,0.3506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1379,441,5.7,1.8,-999
72,PUERTO RICO,PR,Caguas,72025,"Caguas Municipio, Puerto Rico",58.6026172,131363,0,57739,445,48629,835,48880,2329,7475,768,14654,624,17786,1034,24767,0,26564,0,31075,1081,7085,523.8,130282,323.0,76648,2198.7,3334,343.2,74,50,1175,230.8,7755,541,1106,272,37.4,1.8,13.8,1.3,14654.0,624.0,19.3,1.1,18.9,0.0,20.2,0.0,23.8,0.8,14.6,1.0,99.2,0.2,61.1,1.8,5.8,0.6,0.1,0.1,2.4,0.5,15.9,1.1,0.8,0.2,0.1039,0.3117,0.0779,0.0649,0.5584,0.0519,0.5714,0.3636,0.6883,0.6494,2.2727,0.6883,0.2857,0.2078,0.4935,0.1948,0.8182,0.2208,0.3247,0.5844,0.7273,2.6754,0.6753,6.0,0.2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7951,776,6.1,0.6,-999
72,PUERTO RICO,PR,Camuy,72027,"Camuy Municipio, Puerto Rico",46.3547416,32222,0,14114,192,11431,327,16153,1134,1628,351,10252,1080,6451,555,5960,0,6378,0,6449,533,1258,243.9,32022,119.0,21243,1291.9,112,81.4,36,43,210,114.5,1326,213,113,94,50.2,3.5,16.0,3.2,10252.0,1080.0,28.5,2.5,18.5,0.0,19.8,0.0,20.1,1.6,11.0,2.1,99.4,0.4,69.0,4.2,0.8,0.6,0.3,0.3,1.8,1.0,11.6,1.8,0.4,0.3,0.5455,0.4026,0.4935,0.6234,2.065,0.5584,0.4805,0.2338,0.3766,0.2338,1.3247,0.1039,0.3896,0.5325,0.9221,0.4286,0.1429,0.4935,0.1169,0.0649,0.4416,1.2598,0.0649,5.5716,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1516,324,4.7,1.0,-999
72,PUERTO RICO,PR,Ciales,72039,"Ciales Municipio, Puerto Rico",66.5293144,16912,0,7243,172,5870,226,9341,692,847,257,8398,1059,3917,370,3111,0,3555,0,4454,371,935,206.6,16762,81.0,11786,781.8,144,68.2,0,21,132,75.0,1065,186,17,19,55.9,4.1,20.0,5.7,8398.0,1059.0,33.3,3.1,18.4,0.0,21.0,0.0,26.4,2.2,15.9,3.5,99.1,0.5,73.7,4.9,2.0,0.9,0.0,0.6,2.2,1.3,18.1,3.3,0.1,0.1,0.8312,0.5974,0.8442,0.8701,3.1429,0.8701,0.4675,0.5714,0.8052,0.8182,2.6623,0.9221,0.2468,0.7662,1.013,0.5195,0.4675,0.0,0.2078,0.8052,0.0649,1.5454,0.1039,8.3636,0.7662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,232,3.9,1.4,-999
72,PUERTO RICO,PR,Cidra,72041,"Cidra Municipio, Puerto Rico",36.0212015,40343,0,15825,247,12913,396,17095,1197,2490,398,11079,631,6698,582,6465,0,8474,0,11618,627,1692,275.1,40195,115.0,26989,1213.1,76,63.1,79,57,293,102.0,1959,248,174,99,42.6,3.0,16.9,2.7,11079.0,631.0,24.0,2.1,16.0,0.0,21.0,0.0,28.9,1.5,13.1,2.1,99.6,0.3,70.4,3.2,0.5,0.4,0.5,0.4,2.3,0.8,15.2,1.9,0.4,0.2,0.1948,0.4286,0.3117,0.2727,1.2078,0.2338,0.1558,0.5714,0.8961,0.4026,2.0259,0.5455,0.5844,0.6234,1.2078,0.6623,0.0519,0.7922,0.2727,0.4545,0.4416,2.0129,0.2987,6.4544,0.3247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,410,5.0,1.0,-999
72,PUERTO RICO,PR,Coamo,72043,"Coamo Municipio, Puerto Rico",78.0128056,39265,0,16305,242,13346,331,18411,1425,933,330,10761,797,6739,632,6486,0,8342,0,9676,708,2144,330.8,39049,214.0,26340,1130.0,335,107.4,0,29,433,162.3,1922,268,109,63,47.0,3.6,7.4,2.4,10761.0,797.0,24.5,2.3,16.5,0.0,21.2,0.0,24.7,1.8,16.1,2.4,99.4,0.5,70.3,3.0,2.1,0.7,0.0,0.3,3.2,1.2,14.4,2.0,0.3,0.2,0.4156,0.0649,0.3896,0.3377,1.2078,0.2338,0.2208,0.6234,0.7013,0.8312,2.3767,0.7792,0.3896,0.5844,0.974,0.4545,0.5065,0.0,0.5714,0.3766,0.3506,1.8051,0.2078,6.3636,0.2987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1760,467,4.5,1.2,-999
72,PUERTO RICO,PR,Florida,72054,"Florida Municipio, Puerto Rico",15.2091365,11910,0,4948,157,4291,236,6227,736,673,208,8871,910,1685,303,2020,0,2578,0,2297,380,647,231.5,11770,97.0,7953,868.2,64,72.5,0,21,154,101.2,448,149,15,28,52.3,6.2,17.2,5.0,8871.0,910.0,20.8,3.7,17.0,0.0,21.6,0.0,19.3,3.2,15.1,5.3,98.8,0.8,70.5,7.7,1.3,1.5,0.0,0.9,3.6,2.4,10.4,3.4,0.1,0.2,0.7013,0.4416,0.7403,0.1169,2.0001,0.5065,0.2857,0.7403,0.3247,0.7403,2.091,0.5844,0.1429,0.6364,0.7793,0.3506,0.2597,0.0,0.6234,0.013,0.0649,0.961,0.013,5.8314,0.1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,183,3.3,1.5,-999
